"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 10월 30일","195.813","200.262","200.489","187.531","2.50M","-2.20%"
"2021년 10월 29일","200.224","194.795","204.975","194.684","3.75M","2.86%"
"2021년 10월 28일","194.659","184.451","201.385","181.906","5.36M","5.57%"
"2021년 10월 27일","184.397","199.866","205.465","178.226","7.41M","-7.68%"
"2021년 10월 26일","199.744","209.714","213.993","196.706","4.86M","-4.75%"
"2021년 10월 25일","209.698","202.259","218.939","198.189","6.89M","3.61%"
"2021년 10월 24일","202.394","197.765","204.825","185.385","5.12M","2.34%"
"2021년 10월 23일","197.776","196.267","205.692","192.486","4.62M","0.82%"
"2021년 10월 22일","196.174","190.428","214.972","188.115","11.75M","3.02%"
"2021년 10월 21일","190.429","176.805","193.871","176.805","11.01M","7.70%"
"2021년 10월 20일","176.810","155.857","176.810","155.210","5.43M","13.44%"
"2021년 10월 19일","155.857","157.189","159.393","153.148","2.52M","-0.87%"
"2021년 10월 18일","157.217","160.097","162.920","155.015","3.01M","-1.79%"
"2021년 10월 17일","160.077","157.416","167.492","153.364","4.00M","1.70%"
"2021년 10월 16일","157.403","163.157","164.702","156.736","2.65M","-3.53%"
"2021년 10월 15일","163.171","150.020","165.347","146.991","7.13M","8.79%"
"2021년 10월 14일","149.980","148.056","155.501","147.308","3.80M","1.25%"
"2021년 10월 13일","148.125","152.496","155.406","144.419","3.93M","-2.88%"
"2021년 10월 12일","152.518","144.858","153.403","137.730","5.65M","5.27%"
"2021년 10월 11일","144.889","147.698","153.983","140.464","3.59M","-1.93%"
"2021년 10월 10일","147.738","156.778","158.478","145.953","2.91M","-5.75%"
"2021년 10월 09일","156.755","158.631","161.410","154.685","2.87M","-1.16%"
"2021년 10월 08일","158.589","154.215","168.790","152.576","5.41M","2.84%"
"2021년 10월 07일","154.209","153.883","161.162","150.530","4.96M","0.20%"
"2021년 10월 06일","153.895","164.617","165.357","150.266","6.64M","-6.51%"
"2021년 10월 05일","164.619","167.121","170.109","160.188","4.88M","-1.49%"
"2021년 10월 04일","167.116","173.021","173.021","162.503","5.75M","-3.26%"
"2021년 10월 03일","172.745","169.074","177.359","165.891","5.56M","2.17%"
"2021년 10월 02일","169.080","161.623","174.889","156.773","6.76M","4.61%"
"2021년 10월 01일","161.623","141.366","164.871","138.352","8.96M","14.33%"
"2021년 09월 30일","141.360","135.294","142.798","134.131","4.83M","4.49%"
"2021년 09월 29일","135.283","132.222","140.002","131.232","5.31M","2.41%"
"2021년 09월 28일","132.104","136.372","139.386","128.210","5.25M","-3.13%"
"2021년 09월 27일","136.374","135.724","148.787","133.766","6.92M","0.46%"
"2021년 09월 26일","135.753","136.075","140.609","124.982","5.83M","-0.25%"
"2021년 09월 25일","136.086","139.257","143.961","133.589","4.38M","-2.28%"
